PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,RH,WS,WD,SR,BP
31.67,38.67,11.87,15.85,34.99,11.3,8.87,0.74,27.51,0.41,1.44,1.65,0.88,48.29,None,None,333.65,775.1
24.5,31.5,12.42,15.54,36.29,11.26,8.07,0.75,27.53,0.4,1.45,1.69,0.9,45.03,None,None,315.64,775.12
22.98,29.98,11.95,16.16,36.84,11.05,7.94,0.74,27.87,0.4,1.45,1.68,0.87,43.44,None,None,216.86,775.1
27.76,34.77,11.94,15.56,36.32,11.27,10.5,0.72,27.42,0.41,1.43,1.67,0.9,44.11,None,None,79.07,775.1
19.59,26.59,12.28,16.1,36.77,11.43,11.47,0.74,27.87,0.42,1.44,1.66,0.9,47.41,None,None,46.56,775.1
16.15,23.15,12.2,16.41,36.55,11.38,11.6,0.73,27.61,0.41,1.45,1.65,0.86,50.5,None,None,27.07,775.1
11.6,18.6,11.91,16.35,37.22,11.26,11.76,0.73,27.22,0.41,1.46,1.69,0.9,58.43,None,None,19.91,775.1
24.08,31.08,12.13,15.86,36.94,11.32,12.46,0.74,26.98,0.4,1.45,1.67,0.89,61.38,None,None,22.82,775.1
31.73,38.73,11.93,15.99,36.79,11.24,12.45,0.74,27.58,0.42,1.45,1.69,0.89,64.76,None,None,21.98,775.1
38.03,45.03,11.79,15.5,35.84,11.29,12.16,0.74,27.62,0.41,1.47,1.7,0.87,70.4,None,None,24.48,775.1
44.4,51.4,12.03,15.79,36.75,11.26,12.21,0.75,27.36,0.42,1.52,1.65,0.88,83.31,None,None,24.82,775.1
46.96,53.96,11.93,16.02,36.71,11.32,9.84,0.72,27.29,0.42,1.43,1.63,0.86,89.25,None,None,32.09,775.1
47.01,54.01,12.02,15.99,36.41,11.16,9.45,0.74,27.82,0.41,1.45,1.73,0.89,89.25,None,None,41.23,775.1
45.26,52.26,11.83,16.46,35.52,11.12,9.96,0.75,27.14,0.41,1.41,1.68,0.89,89.25,None,None,39.35,775.1
45.09,52.09,12.18,16.07,36.88,11.19,10.28,0.73,27.31,0.42,1.44,1.72,0.87,89.25,None,None,33.4,775.1
41.2,48.2,12.16,15.79,36.71,11.23,7.56,0.75,27.56,0.41,1.46,1.69,0.89,89.25,None,None,33.4,775.1
37.08,44.08,11.89,15.88,36.97,11.1,7.27,0.73,26.99,0.41,1.46,1.65,0.9,89.25,None,None,28.1,775.1
35.53,42.53,11.91,16.29,35.83,11.15,7.55,0.73,27.23,0.41,1.47,1.69,0.9,89.25,None,None,33.25,775.1
42.26,49.26,11.77,16.16,36.35,11.15,7.49,0.73,27.86,0.41,1.46,1.67,0.87,89.25,None,None,44.51,775.1
38.71,45.71,11.83,15.98,35.58,11.15,12.91,0.75,27.26,0.41,1.46,1.72,0.86,89.25,None,None,49.42,775.1
42.52,49.52,11.91,15.58,36.75,11.53,12.26,0.73,26.71,0.42,1.44,1.7,0.87,88.93,None,None,74.85,775.1
43.28,50.28,12.05,16.22,36.33,11.31,11.76,0.73,27.54,0.41,1.43,1.64,0.89,78.06,None,None,104.23,775.1
41.31,48.31,12.34,15.82,36.41,11.24,11.26,0.75,26.96,0.41,1.44,1.69,0.91,63.32,None,None,306.68,775.1
37.11,44.11,12.18,16.13,36.54,11,9.62,0.75,26.45,0.4,1.45,1.71,0.88,53.65,None,None,274.73,775.1
41.98,48.98,12.04,16.12,35.8,11.32,8.39,0.74,27.21,0.41,1.48,1.66,0.86,48.04,None,None,354.83,775.1
32.28,39.28,12.02,16.21,35.3,11.29,8.75,0.73,27.32,0.41,1.48,1.67,0.87,42.45,None,None,468.95,775.1
30.01,37.01,12.06,15.91,35.62,11.18,7.35,0.73,27.21,0.42,1.48,1.66,0.88,42.34,None,None,248.62,775.1
29.77,36.77,12.18,15.81,36.08,11.08,10.34,0.75,27.73,0.41,1.47,1.65,0.89,43.5,None,None,83.27,775.1
26.88,33.88,12.08,15.88,36.77,11.2,10.23,0.73,27.73,0.41,1.47,1.69,0.89,46.49,None,None,50.64,775.1
30.18,37.18,11.73,16.59,36.98,11.5,9.85,0.72,27.28,0.42,1.46,1.63,0.86,50.13,None,None,26.99,775.1
29.88,36.88,11.74,16.05,37.38,11.24,10.38,0.74,27.42,0.42,1.45,1.7,0.85,52.76,None,None,20.2,775.1
34.7,41.7,12.2,15.89,35.84,11.2,9.86,0.75,27.23,0.4,1.44,1.72,0.88,60.02,None,None,22.05,775.1
38.62,45.62,11.97,16.04,36.53,11.47,9.64,0.74,26.99,0.42,1.44,1.66,0.88,65.6,None,None,22.13,775.1
48.21,55.21,11.6,15.9,36.21,11.28,8.52,0.76,27.54,0.41,1.43,1.67,0.89,72.64,None,None,24.07,775.1
50.75,57.75,11.71,16.38,37.53,11.46,8.7,0.73,27.54,0.41,1.47,1.67,0.88,85.69,None,None,24.61,775.1
50.26,57.26,12.15,15.72,35.12,11.25,14.55,0.72,27.7,0.41,1.46,1.65,0.91,89.25,None,None,26.32,775.1
47.78,54.78,11.86,15.97,37.09,11.51,15.45,0.74,27.86,0.42,1.46,1.64,0.87,89.25,None,None,38.92,775.1
