PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,RH,WS,WD,SR,BP
25.5,42.5,9.48,15.69,24.62,12.2,1.69,0.72,20.48,0.42,1.48,1.67,0.92,28.35,1.72,336.04,22.3,783.83
28.02,46.7,9.63,15.72,25.13,12.52,1.16,0.72,21.09,0.41,1.45,1.71,0.84,43.13,0.65,106.01,29.39,784.5
32.83,54.7,9.57,15.71,25.08,12.66,2.89,0.73,18.1,0.4,1.44,1.68,0.89,60.03,0.44,73.48,27.74,783.9
32.15,53.58,9.38,15.57,24.56,12.94,None,0.75,4.79,0.43,1.38,1.74,0.81,68.88,0.36,157.91,30.34,780.55
26.09,43.49,9.61,15.6,24.85,12.41,17.85,0.75,16.96,0.42,1.45,1.7,0.86,69.12,0.4,175.97,31.87,782.08
28.58,47.63,9.5,15.64,24.84,12.51,18.75,0.74,21.27,0.41,1.45,1.64,0.88,73.11,0.44,124.34,32.54,782.5
29.41,49.02,9.54,15.95,24.96,12.45,19.58,0.75,25.09,0.4,1.47,1.72,0.89,77.68,0.59,104.09,32.41,782.55
33.31,55.53,9.67,15.34,24.52,12.54,4.32,0.75,20.92,0.41,1.45,1.71,0.9,86.88,0.81,337.72,32.24,781.92
39.3,65.5,9.74,15.72,25.07,12.6,3.9,0.74,20.7,0.42,1.45,1.66,0.88,91.4,0.62,193.55,33.66,782.93
41.45,69.09,9.66,15.31,25.2,12.65,3.34,0.72,20.96,0.41,1.42,1.69,0.89,93.24,1.06,174.56,33.07,781.88
42.8,71.34,9.61,16.01,25.36,12.45,3.19,0.75,20.87,0.42,1.43,1.67,0.86,93.25,0.9,183.18,34.64,782.58
44.89,74.82,9.7,15.51,25.35,12.62,5.81,0.74,21.02,0.41,1.46,1.68,0.92,93.25,0.48,64.08,35.62,783.25
44.44,74.07,9.53,15.15,25.34,12.4,5.32,0.74,20.73,0.41,1.43,1.65,0.92,93.25,0.45,45.83,39.05,784
41.7,69.51,9.57,15.65,24.48,12.45,5.71,0.75,20.85,0.41,1.45,1.66,0.83,93.25,0.51,84.62,47.11,783.4
38.34,63.91,9.77,15.53,25.02,12.69,4.89,0.75,20.46,0.42,1.45,1.66,0.92,91.96,0.53,115.34,56.84,784.42
39.64,66.07,9.62,15.92,24.78,12.59,8.76,0.74,20.69,0.41,1.44,1.68,0.88,81.04,0.57,215.57,72.98,784.78
33.02,55.03,9.78,15.56,25.42,12.53,8.02,0.74,20.59,0.42,1.49,1.68,0.88,66.5,0.44,210.54,92.27,785.3
24.54,40.91,7.81,14.5,23.3,10.96,7.98,0.74,22.45,0.4,1.43,1.69,0.86,56.79,0.53,210.01,87.94,786.65
19.79,32.98,5.62,13.59,20.89,8.49,8.47,0.74,27.23,0.41,1.44,1.66,0.9,48.55,0.61,213.54,148.52,786.65
20.66,34.43,5.63,13.47,21.05,8.62,4.43,0.74,42.19,0.41,1.42,1.68,0.86,59.12,0.6,127.38,65.35,786.62
23.41,39.02,5.59,13.6,21.21,8.64,4.84,0.74,50.06,0.42,1.46,1.73,0.87,56.11,0.64,99.33,249.12,786.05
24.61,41.02,5.61,13.65,21.4,8.51,7.44,0.73,56.36,0.41,1.44,1.68,0.9,44.65,0.35,76.94,86.98,786.02
25.17,41.95,6.07,14.27,22.44,9.07,7.05,0.74,62.53,0.4,1.44,1.66,0.9,42.14,0.49,236.62,30.79,786.35
27.14,45.24,8.64,19.5,29.18,12.45,3.17,0.74,36.05,0.41,1.46,1.67,0.88,48.99,1.11,282.98,34.46,786.08
24.91,41.52,8.54,19.49,29.91,12.43,1.52,0.74,21.76,0.41,1.44,1.7,0.9,51.69,1.08,273.84,33.48,786
26.25,43.75,8.56,19.3,30.15,12.52,0.6,0.75,20.29,0.41,1.43,1.66,0.87,50.58,1.03,301.71,35.68,786.4
28.22,47.04,8.54,19.24,29.65,12.68,0.52,0.75,20.46,0.42,1.45,1.66,0.84,57.97,0.88,285.46,35.4,785.6
31.74,52.9,8.66,19.7,29.62,12.57,5.02,0.74,20.33,0.4,1.45,1.71,0.88,68.67,1.09,325.5,37.43,785.95
31.84,53.06,8.6,19.56,29.69,12.54,5.21,0.72,20.76,0.41,1.46,1.67,0.9,66.52,1.14,286.53,37.17,786.17
28.96,48.28,8.66,19.73,29.82,12.46,5.52,0.75,21.04,0.4,1.43,1.66,0.9,67.34,1.23,251.13,35.74,786.05
29.02,48.37,8.5,19.83,29.34,12.45,5.17,0.74,20.47,0.41,1.45,1.65,0.87,73.05,0.95,251.12,33.74,786.6
25.9,43.17,8.62,19.58,29.35,12.6,4.43,0.74,20.42,0.41,1.49,1.67,0.88,78.98,0.93,237.69,36.46,785.62
23.52,39.21,8.65,19.64,29.58,12.52,4.35,0.74,20.98,0.41,1.45,1.67,0.87,82.34,1.13,238.03,38.5,785.92
22.93,38.23,8.74,19.57,30.2,12.51,3.85,0.74,20.65,0.41,1.46,1.67,0.87,84.25,0.77,262.17,37.77,785.57
20.79,34.65,8.6,19.46,29.11,12.61,4.07,0.73,21.11,0.42,1.44,1.66,0.85,81.34,0.94,272.31,36.98,785.95
19.25,32.09,8.54,19.87,29.62,12.46,4.74,0.74,20.78,0.41,1.49,1.65,0.91,82.35,1.39,311.86,34.67,784.78
17.7,29.51,8.71,19.51,29.51,12.57,5.64,0.74,20.96,0.41,1.47,1.66,0.85,82.84,0.96,266.25,36.5,785.1
21.28,35.47,8.72,19.84,29.47,12.52,6.27,0.74,20.41,0.41,1.46,1.68,0.89,82.17,0.99,285.2,52.45,785.8
21.77,36.29,8.67,19.83,29.82,12.55,6.65,0.73,20.91,0.41,1.49,1.67,0.88,67.75,0.89,273.6,73.18,785.78
19.3,32.16,8.6,19.51,29.93,12.6,6.19,0.73,20.73,0.41,1.48,1.68,0.8,58,0.9,290.96,82.93,786.35
21.36,35.59,8.58,19.59,29.55,12.51,5.59,0.74,20.25,0.41,1.45,1.65,0.89,49.33,0.85,308.58,98.08,786.67
23.2,38.67,8.58,19.65,29.4,12.55,6.93,0.75,20.45,0.42,1.45,1.73,0.89,43.21,0.85,275.35,89.18,787.12
27.06,45.07,8.58,19.97,29.43,12.52,6.79,0.73,16.84,0.42,1.43,1.74,0.79,37.37,0.74,270.5,163.87,815.45
30.1,50.17,8.68,19.52,29.7,12.54,6.1,0.75,47.21,0.41,1.43,1.64,0.85,35.38,0.73,265.3,371.12,871.38
30.75,51.25,8.62,19.35,29.68,12.53,3.08,0.75,30.17,0.43,1.46,1.65,0.9,33.65,0.61,229.9,214.61,889.52
29.15,48.57,8.62,19.7,29.99,12.48,0.61,0.73,21.64,0.42,1.41,1.62,0.87,34.56,0.83,314.42,60.34,893.03
29.42,49.02,8.58,19.68,29.32,12.49,0.59,0.74,21.01,0.41,1.45,1.68,0.88,35.37,1.17,340.75,51.02,896.82
30.63,51.05,8.6,19.69,30.29,12.6,6.88,0.72,20.68,0.4,1.45,1.67,0.9,36.45,1.03,326.84,35.12,863.47
32.46,54.09,8.62,19.69,29.68,12.61,5,0.73,20.38,0.41,1.46,1.68,0.89,44.25,0.85,273.35,32.39,799.4
30.14,50.23,8.65,19.97,29.59,12.42,7.88,0.76,21.07,0.41,1.45,1.67,0.86,56.43,0.71,25.54,33.28,794.57
29.73,49.55,8.68,19.44,29.55,12.5,9.76,0.75,21.05,0.41,1.43,1.68,0.9,65.64,0.41,109.93,32,793.32
28.48,47.46,8.64,19.77,29.57,12.46,2.34,0.76,21.03,0.41,1.45,1.64,0.89,70.96,0.36,70.61,38.24,792.2
26.8,44.67,8.59,19.69,29.32,12.53,3.01,0.75,20.79,0.41,1.45,1.66,0.92,83.66,0.64,110.35,37.68,791.38
27.03,45.05,8.78,19.68,29.79,12.65,2.4,0.72,21.04,0.42,1.46,1.65,0.85,84.91,0.44,97.24,39.52,790.4
26.19,43.65,8.56,19.77,29.46,12.44,3.68,0.73,21.34,0.41,1.48,1.68,0.84,83.5,0.62,185.36,36.38,790.15
24.76,41.27,8.63,20.07,29.63,12.58,6.54,0.75,20.53,0.42,1.46,1.66,0.89,80.14,1.04,240.51,33.85,789.42
21.6,36,8.74,19.84,29.64,12.59,7.56,0.74,21.12,0.41,1.46,1.67,0.84,79.83,1.15,269.9,38.07,788.97
17.79,29.65,8.46,19.58,29.67,12.54,6.91,0.74,20.48,0.41,1.46,1.68,0.9,85.41,0.92,237.62,34.65,788.77
19.82,33.03,8.67,19.74,29.25,12.55,6.86,0.74,20.73,0.42,1.43,1.65,0.88,89.66,1.09,286.19,34.41,788.4
20.29,33.83,8.66,19.62,29.84,12.56,4.79,0.74,20.46,0.42,1.45,1.68,0.91,88.41,0.99,299.82,34.21,788.03
14.96,24.93,8.58,19.64,29.33,12.57,4.4,0.74,20.94,0.41,1.42,1.72,0.86,87.42,1.04,300.23,38.41,788
14.6,24.33,8.54,19.82,29.92,12.46,4.52,0.74,20.16,0.41,1.44,1.62,0.9,83.53,1.11,303.34,44.76,787.85
18.42,30.71,8.6,19.69,29.81,12.45,4.74,0.74,19.95,0.41,1.47,1.67,0.9,76.34,0.95,249.53,56.77,787.93
19.06,31.77,8.71,19.54,29.86,12.57,3.79,0.73,20.81,0.41,1.47,1.69,0.87,70.72,1.05,230.22,71.29,788.1
18.65,31.08,8.49,19.67,29.58,12.59,2.81,0.73,21.26,0.41,1.47,1.68,0.87,63.02,0.88,238.47,89.14,788.68
19.88,33.14,8.61,19.8,29.18,12.59,3.39,0.74,20.17,0.41,1.41,1.65,0.88,52.84,0.91,238.94,83.32,789.45
19.31,32.19,8.53,19.63,29.96,12.55,3.41,0.73,20.11,0.42,1.43,1.66,0.88,40.59,0.7,287.2,157.29,788.85
18.63,31.05,7.33,16.86,27.13,11.25,2.6,0.74,20.14,0.42,1.43,1.69,0.87,36.42,0.68,284.42,178.7,788.7
20.3,33.83,5.62,13.75,23.59,9.37,2.43,0.73,20.61,0.41,1.44,1.63,0.9,37.79,0.67,266.66,207.8,788.9
21.24,35.4,5.66,13.62,23.48,9.46,3.1,0.74,21.47,0.42,1.39,1.69,0.89,40.15,0.8,342.18,55.55,788.07
20.41,34.02,5.63,13.69,23.61,9.63,2.69,0.74,20.73,0.41,1.42,1.69,0.88,40.84,1.42,179.39,36.05,787.6
21.6,36,5.64,13.56,23.59,9.53,3.67,0.72,21.11,0.41,1.45,1.63,0.9,49.43,0.86,179.22,25.66,787.2
23.15,38.58,5.61,13.73,23.62,9.5,3.84,0.72,20.7,0.41,1.43,1.67,0.88,64.94,1.85,332.19,43.03,786.95
27.75,46.25,5.65,13.71,23.45,9.55,3.52,0.74,20.91,0.42,1.45,1.67,0.89,56.8,1.76,343.04,61.26,786.82
32.92,54.87,5.58,13.62,23.82,9.56,4.49,0.73,20.91,0.42,1.44,1.71,0.89,53.28,1.5,338.22,48.28,786.67
35.34,58.91,5.63,13.59,23.58,9.61,5.04,0.73,20.53,0.41,1.43,1.67,0.86,61.32,0.94,301.08,37.77,786.67
35.82,59.7,5.54,13.65,23.6,9.47,4.79,0.74,20.41,0.42,1.47,1.69,0.86,66.71,1.23,325.27,37.01,786.45
35.48,59.13,5.64,13.68,23.67,9.68,5.05,0.73,20.82,0.4,1.42,1.65,0.88,67.49,1.04,308.41,39.12,786.6
37.16,61.93,5.61,13.55,23.83,9.48,4.83,0.74,21.22,0.41,1.46,1.7,0.84,72.5,1.59,347.86,36.09,786.6
35.37,58.94,5.71,13.74,23.59,9.55,6.95,0.74,20.13,0.41,1.43,1.69,0.89,75.05,1.23,269.5,36.02,786.7
33.73,56.23,5.61,13.58,23.52,9.64,6.54,0.74,20.78,0.41,1.43,1.65,0.83,77.22,0.85,268.67,36.93,786.88
33.3,55.51,5.64,13.79,23.75,9.54,8.35,0.74,20.44,0.42,1.45,1.69,0.89,79.51,1.28,354.13,33.99,787.08
31.66,52.77,5.6,13.69,23.77,9.49,7.57,0.75,20.54,0.41,1.45,1.65,0.88,80.11,1.26,174.39,34.49,787.35
27.17,45.28,5.59,13.76,23.98,9.42,6.16,0.74,20.84,0.41,1.45,1.67,0.88,82.3,0.78,249.97,35.1,787.2
24.44,40.74,5.58,13.61,23.62,9.56,6.41,0.74,20.4,0.41,1.45,1.65,0.87,82.27,0.94,331.9,36.32,787.28
25.92,43.2,5.62,13.77,23.71,9.51,6.79,0.75,20.73,0.42,1.48,1.69,0.87,89.74,0.35,249.81,50.7,787.12
28.45,47.41,5.61,13.79,23.8,9.53,7.88,0.73,20.62,0.42,1.45,1.64,0.89,78.63,0.82,190.46,61.25,787.05
24.12,40.2,5.6,13.63,23.74,9.59,8.4,0.74,20.93,0.42,1.45,1.69,0.89,61.55,0.77,248.66,72.89,787.02
20.53,34.22,6.81,16.42,26.8,11.33,8.35,0.74,20.77,0.41,1.47,1.67,0.87,54.04,0.67,206.13,98.31,787.17
22.04,36.73,10.75,26.25,38.01,18.79,8.94,0.75,20.36,0.41,1.44,1.67,0.89,44.92,0.46,163.31,99.61,787.38
24.75,41.25,10.82,25.72,37.54,18.78,8.25,0.74,20.6,0.42,1.43,1.66,0.86,39.7,0.73,250.95,115.06,787
29.83,49.72,10.76,26.38,37.93,18.63,5.85,0.75,21.27,0.41,1.47,1.65,0.89,36.56,0.51,281.6,218.83,786.75
34.78,57.98,10.68,26.03,37.88,18.72,6.2,0.74,21.52,0.41,1.44,1.66,0.86,33.64,0.72,163.57,158.21,786.72
35.43,59.05,10.66,25.97,37.33,18.77,7.06,0.73,21.25,0.4,1.48,1.63,0.87,31.62,0.83,319.25,106.39,789.28
35.31,58.86,10.73,25.93,37.82,18.73,6.6,0.73,21.02,0.41,1.42,1.62,0.89,31.06,0.76,282.52,35.74,789.75
34.59,57.66,10.87,25.79,37.09,18.77,4.53,0.75,21.25,0.41,1.43,1.62,0.86,34.55,0.73,277.11,31.32,789.42
31.98,53.3,10.73,25.77,37.51,18.81,3.8,0.74,21.49,0.4,1.43,1.69,0.88,56.25,0.59,99.27,30.69,789.3
33.37,55.62,10.77,26.04,37.77,18.81,3.5,0.75,20.8,0.41,1.44,1.67,0.91,59.91,0.87,262.18,30,789.08
33.12,55.2,10.85,25.79,37.83,18.72,3.73,0.75,21.06,0.41,1.42,1.67,0.89,58.98,0.61,99.95,31.04,788.77
33.88,56.47,10.63,25.8,37.37,18.8,10.28,0.73,20.67,0.41,1.45,1.71,0.87,62.34,0.48,178.81,31.12,788.75
33.38,55.63,10.76,25.88,37.49,18.79,10.53,0.74,20.52,0.41,1.47,1.69,0.89,68.59,0.72,181.38,31.81,789.07
31.11,51.86,10.73,26.42,37.73,18.7,11.51,0.75,20.74,0.41,1.46,1.63,0.9,68.02,1.01,340.12,31.01,788.9
28.38,47.3,10.46,25.74,37.56,18.72,11.05,0.73,20.48,0.41,1.44,1.65,0.88,73.68,1.16,175.53,33.7,788.28
28.71,47.85,10.65,25.74,38.25,18.66,5.62,0.75,20.52,0.41,1.46,1.67,0.88,76.9,0.69,186.63,32.65,788.33
28.23,47.06,10.62,25.83,37.5,18.77,5.82,0.74,20.85,0.41,1.47,1.71,0.85,75.59,0.87,198.45,32.99,789.12
25.91,43.18,10.56,26.23,37.39,18.81,6.63,0.74,20.62,0.41,1.4,1.64,0.88,78.8,0.73,21.59,33.84,789.17
23.43,39.05,10.75,26.11,37.84,18.74,6.22,0.75,20.33,0.41,1.41,1.68,0.89,84,1.11,225.74,34.68,788.75
24.2,40.34,10.85,26.58,37.78,18.7,4.96,0.75,20.86,0.42,1.42,1.68,0.9,86.41,0.86,281.81,34.94,789
24.09,40.16,10.75,26.29,37.93,18.81,4.5,0.74,20.33,0.41,1.46,1.66,0.9,87.06,0.95,276.02,39.1,788.7
25.83,43.05,10.79,26.27,38.06,18.63,3.67,0.73,20.78,0.41,1.45,1.71,0.88,87.06,1,252.97,49.19,788.58
26.36,43.93,10.6,26.02,37.81,18.8,3.38,0.74,20.49,0.41,1.43,1.71,0.88,83.7,0.97,245.59,64.3,788.2
25.25,42.08,10.96,25.64,37.7,18.58,3.68,0.74,21.16,0.41,1.47,1.65,0.91,69.85,1,247.73,73.53,788.33
20.28,33.8,10.57,25.87,37.64,18.69,2.84,0.73,20.77,0.42,1.43,1.66,0.86,55.62,0.62,234.94,82.06,788.12
16.37,27.29,10.95,25.95,37.39,18.73,3.35,0.73,20.72,0.41,1.43,1.69,0.87,46.4,0.57,240.02,78.73,788.03
18.79,31.31,10.8,25.44,37.46,18.89,3.59,0.74,21.66,0.41,1.46,1.66,0.87,39.97,0.75,274.16,61.24,788.1
21.9,36.5,10.59,25.46,37.81,18.71,5.83,0.74,21.57,0.42,1.48,1.66,0.86,33.89,0.47,291.7,334.82,788.62
24.02,40.03,10.72,25.45,36.87,18.68,7.17,0.72,21.49,0.41,1.44,1.66,0.85,30.29,0.68,265.88,236.81,787.85
25.87,43.11,10.88,25.95,37.56,18.73,7.16,0.73,21.33,0.41,1.45,1.66,0.88,26.92,0.73,307.52,91.96,787.95
26.37,43.95,10.61,25.87,37.32,18.67,7.35,0.76,21.24,0.42,1.45,1.7,0.87,28.93,1.01,273.3,27.81,787.08
27.9,46.5,10.85,25.69,37.35,18.91,9.6,0.75,21.16,0.4,1.44,1.64,0.86,44.34,0.66,161.25,35.66,786.8
28.56,47.61,10.56,26.26,37.99,18.73,9.23,0.75,21.39,0.42,1.47,1.68,0.9,60.36,0.42,96.72,35.9,786.5
27.64,46.07,10.77,25.72,37.51,18.73,7.27,0.73,20.44,0.4,1.46,1.72,0.94,60.53,0.36,57.91,34.72,787.45
28.73,47.89,10.68,25.73,37.37,18.59,7.94,0.73,21.55,0.41,1.44,1.69,0.86,64.51,0.39,60.83,35.75,787.38
29.41,49.02,10.88,26.16,38.14,18.65,6,0.73,20.89,0.41,1.45,1.67,0.86,66.24,0.88,178.01,33.98,787.15
30.81,51.35,10.83,26.07,37.66,18.72,6.02,0.73,20.29,0.41,1.43,1.69,0.87,69.89,0.84,260.25,30.93,787.62
30.57,50.95,10.58,25.78,37.34,18.72,7.02,0.75,20.64,0.41,1.46,1.67,0.9,74.74,0.79,94.33,33.12,787.3
29.54,49.22,10.67,26.08,37.85,18.8,7.67,0.72,20.45,0.41,1.47,1.66,0.84,80.17,0.46,105.95,37.14,786.65
29.87,49.79,10.75,25.57,37.88,18.64,7.11,0.74,20.52,0.4,1.46,1.64,0.87,75.97,0.69,184.34,33.64,788.08
26.45,44.09,10.33,25.62,37.87,18.71,7.88,0.74,20.64,0.41,1.42,1.66,0.88,77.07,0.52,250.47,35.3,787.58
24.25,40.41,10.74,26.14,37.77,18.84,9.44,0.74,20.77,0.41,1.44,1.66,0.88,82.09,1.05,221.57,34.38,787.38
24.27,40.44,10.75,25.34,37.85,18.73,8.02,0.72,20.69,0.41,1.44,1.65,0.87,86.74,0.8,228.88,33.95,787.2
23.98,39.97,10.56,25.61,37.75,18.71,3.14,0.72,20.68,0.42,1.48,1.69,0.9,90.87,0.9,241.55,33.42,786.9
26.67,44.44,10.79,26.19,37.3,18.74,2.76,0.73,20.57,0.41,1.41,1.68,0.91,93.24,0.96,251.58,37.16,786.97
25.62,42.7,10.71,26.03,38.15,18.71,2.56,0.75,19.95,0.42,1.44,1.63,0.85,91.09,0.69,266.88,44.22,786.85
24.33,40.55,10.72,25.86,37.69,18.73,3.28,0.73,20.96,0.41,1.47,1.65,0.88,79.36,0.68,206.66,55.52,787.02
23.97,39.95,10.77,25.93,36.89,18.72,9.88,0.73,20.44,0.41,1.43,1.7,0.85,67.86,0.45,234.33,66.99,786.95
25.48,42.48,10.74,25.8,37.65,18.68,9.62,0.75,20.95,0.41,1.47,1.68,0.85,57.6,0.39,113.95,80.56,787.05
25.09,41.82,10.79,25.85,37.61,18.81,10.07,0.72,20.95,0.41,1.46,1.65,0.87,51.69,0.85,279.7,82.47,787.1
22.21,37.01,10.68,26.19,37.55,18.68,11.52,0.74,38.04,0.41,1.43,1.65,0.88,42.61,0.46,136.06,42.85,787.25
25.08,41.81,10.79,25.78,38.39,18.74,4.63,0.74,31.35,0.41,1.45,1.7,0.88,42.98,0.71,197.76,58.69,787.05
28.82,48.05,10.86,25.56,37.81,18.77,2.62,0.74,22.63,0.41,1.45,1.7,0.9,42.38,1.12,239.29,91.16,786.65
29.62,49.38,10.73,25.87,37.64,18.79,1.6,0.75,22.09,0.41,1.46,1.65,0.89,42.87,1.07,336.86,52.1,786.42
29.09,48.49,10.72,25.55,37.55,18.86,1.49,0.75,22.06,0.41,1.46,1.69,0.87,46.52,1.09,327.16,43.51,787.22
31.97,53.27,10.85,25.91,37.95,18.91,3.71,0.75,21.31,0.41,1.47,1.65,0.85,44.36,1.11,315.49,36.8,787.2
29.71,49.52,10.68,25.85,37.69,18.73,3.27,0.75,21.45,0.41,1.44,1.67,0.88,48.76,0.9,337.66,34.38,787.35
32.67,54.45,10.85,26.29,38.02,18.81,3.88,0.73,20.71,0.41,1.45,1.63,0.89,54.06,0.48,71.84,34.19,787.35
34.73,57.88,10.8,25.68,37.81,18.77,3.47,0.74,21.42,0.41,1.46,1.64,0.89,63.92,0.5,102.05,35,786.95
33.79,56.32,10.71,26.21,37.49,18.77,7.1,0.76,21.12,0.41,1.47,1.65,0.9,67.36,0.58,234.71,36.35,786.88
33.14,55.24,10.75,25.96,37.45,18.77,7.93,0.73,20.7,0.42,1.41,1.73,0.84,92.48,0.77,253.63,19.7,787.15
34.8,58,10.67,25.91,36.64,18.67,8.31,0.72,20.78,0.41,1.44,1.71,0.84,93.25,1.28,166.06,26.48,787.12
28.57,47.62,10.82,25.46,37.75,18.76,7.24,0.75,20.4,0.41,1.44,1.73,0.85,93.25,0.57,81.95,None,786.98
21.07,35.11,10.66,25.93,37.33,18.62,4.97,0.75,20.67,0.42,1.46,1.7,0.87,93.25,1.15,181.72,None,786.62
17.39,28.98,10.94,25.69,37.9,18.79,5.18,0.74,20.54,0.41,1.44,1.65,0.92,93.25,1.5,321.69,None,786.52
16.16,26.94,10.85,26.05,37.71,18.69,4.84,0.74,20.75,0.42,1.44,1.67,0.88,93.21,1.19,259.54,None,785.5
17,28.34,10.61,26.06,38.39,18.79,5.56,0.73,20.68,0.41,1.47,1.69,0.88,93.25,0.85,227.51,None,785.42
14.39,23.99,10.76,25.59,37.8,18.79,5.26,0.74,20.32,0.41,1.44,1.66,0.86,93.25,1.77,326.74,None,785.53
12.27,20.44,10.83,26.02,37.64,18.53,5.48,0.74,20.71,0.41,1.44,1.68,0.9,93.25,1.69,336.85,None,785.08
11.66,19.44,10.67,25.82,37.38,18.85,5.62,0.74,20.91,0.42,1.47,1.66,0.87,93.25,1.31,245.28,None,785.52
11.08,18.48,10.8,25.75,37.3,18.69,6.26,0.72,21.2,0.42,1.46,1.67,0.88,91.07,1.06,283.43,6.58,785.52
13.38,22.29,10.24,24.77,35.39,18.05,5.58,0.74,20.8,0.41,1.46,1.65,0.88,83.77,0.91,262.91,87.27,787
14.17,23.61,8.94,21.95,29.77,16.99,5.59,0.74,20.11,0.41,1.47,1.61,0.87,79.27,0.97,244.39,121.51,786.2
15.07,24.85,9.07,22.17,30.55,17.29,None,0.73,10.36,0.43,1.46,1.65,0.88,72.29,0.98,238.69,204.11,885.97
18.1,30.17,8.89,22.17,31.18,16.73,2.01,0.75,21.52,0.41,1.45,1.67,0.88,68.91,0.89,215.64,310.92,890.13
16.77,27.95,8.84,21.77,30.57,16.94,2.83,0.75,21,0.41,1.44,1.67,0.86,56.05,0.93,255.39,221.31,901.35
17.34,28.91,9.07,22.07,31.48,16.81,1.88,0.73,21.07,0.4,1.47,1.66,0.91,57.44,1.15,220.47,118.41,868.3
17.37,29.82,8.96,21.65,30.99,16.82,1.2,0.73,22.82,0.41,1.46,1.69,0.88,61.62,1.22,216.44,115.83,800.2
17.09,34.18,8.96,22.17,30.88,16.88,1.59,0.73,25.52,0.41,1.44,1.65,0.86,59.95,1.06,224.84,62.07,796.2
20.59,41.17,9.02,22.33,32.03,17.11,0.73,0.75,21.05,0.42,1.45,1.69,0.91,62.26,0.96,226.19,52.67,793.5
21.6,43.2,9,21.88,31.04,16.95,5.41,0.73,20.66,0.41,1.44,1.66,0.89,76.48,0.86,227.48,25.46,792.2
23.38,46.77,8.88,22.45,31.35,17,6.83,0.73,20.89,0.41,1.46,1.68,0.87,93.25,1.84,337.49,25.46,790.25
26.5,53.01,9,22.06,31.59,16.95,6.65,0.74,20.48,0.41,1.4,1.66,0.88,93.25,1.8,347.95,10.03,790.35
27.31,54.62,9.02,22.4,30.82,17.33,6.35,0.73,20.75,0.42,1.43,1.67,0.86,93.25,1.7,171.64,22.43,789.92
29.04,58.07,8.91,22.12,30.26,16.77,5.19,0.73,21.23,0.41,1.52,1.65,0.89,93.25,1.54,172.33,45.1,789.8
27.91,55.82,9,21.95,30.63,16.98,5.51,0.74,20.88,0.42,1.45,1.65,0.85,93.25,1.5,181.18,48.94,788.95
28.25,56.5,8.98,22.13,30.76,17.04,6.36,0.73,20.45,0.41,1.48,1.69,0.86,93.25,1.84,336.9,40.97,788.92
26.41,52.83,8.91,22.49,30.52,17.38,5.29,0.73,20.71,0.41,1.46,1.66,0.87,93.25,1.83,341.78,40.78,788.73
23.63,47.26,8.98,22.03,30.6,17.1,8.04,0.74,21.03,0.42,1.46,1.67,0.88,93.24,1.89,337.55,39.89,789.33
23.8,47.61,8.98,22.02,31.51,17.03,7.49,0.75,20.78,0.41,1.42,1.64,0.9,93.19,1.61,308.81,37.48,789.45
22.92,45.85,8.91,22.45,30.69,16.88,7.81,0.72,20.57,0.41,1.44,1.67,0.9,93.25,1.42,308.02,36.27,789.3
23.34,46.66,8.98,21.83,30.63,16.56,7.59,0.74,20.99,0.41,1.43,1.69,0.88,93.16,1.67,322.29,37.69,789.38
21.27,42.54,8.83,22.19,30.59,16.99,6.71,0.75,20.73,0.41,1.41,1.64,0.86,89.07,1.56,319.73,41.37,789.4
21.29,42.57,9.23,21.87,31.17,16.64,6.71,0.74,20.74,0.42,1.43,1.66,0.86,83.05,1.3,325.34,49.64,788.95
22.41,44.81,8.88,22.06,31,17.27,6.8,0.73,20.31,0.42,1.46,1.67,0.89,75.25,0.95,289,58.53,788.3
20.73,41.46,9.02,22,30.83,16.6,6.41,0.74,20.29,0.42,1.42,1.74,0.84,66.69,0.88,317.19,68.13,788.1
25.14,50.28,9,22.26,31.02,16.74,None,0.76,28.34,0.4,1.42,1.73,0.93,56.16,0.46,88.27,83.54,883.03
27.21,54.42,8.9,22,31.2,17.04,8.3,0.73,33.34,0.41,1.45,1.67,0.9,49.46,0.59,145.77,86.41,839.53
18.04,36.08,8.93,22.07,31.01,17.5,5.79,0.73,22.38,0.41,1.47,1.7,0.9,42.13,0.21,193.16,102.98,798.5
17.86,35.73,8.95,21.98,30.82,17.22,5.82,0.74,21.63,0.42,1.46,1.64,0.86,35.98,0.34,190.16,262.93,795.67
21.84,43.68,8.97,21.93,31.1,16.97,5.79,0.74,21.56,0.42,1.43,1.69,0.88,37.1,0.34,177.4,192.31,793.67
18.22,43.47,8.92,21.99,30.71,17.07,6.46,0.73,19.74,0.41,1.45,1.64,0.91,39.73,0.36,192.47,70.25,793.2
16.28,40.71,8.94,22.16,30.54,16.61,4.51,0.73,20.77,0.41,1.44,1.67,0.89,38.79,0.29,142.42,55.9,791.97
18.25,45.61,8.88,21.84,30.68,16.88,None,0.74,21.12,0.41,1.44,1.74,0.88,42.5,0.21,189.4,34.97,791.4
17.54,43.86,8.98,21.99,31.11,17.3,None,0.73,20.98,0.42,1.45,1.65,0.84,46.05,0.86,335.13,31.36,790.05
18.33,45.82,8.94,22.09,31.77,17.52,4.46,0.73,20.88,0.42,1.43,1.68,0.88,48.44,0.98,187.36,33.2,790.25
